x,sub1,empresa1,sub2,empresas2,sub3,empresa3,sub4,empresa4
,,,,,,,,
,Projeto e Viabilidade,,Construção,,Aquisição,,Propriedade em Uso,
,,,,,,,,
,BIM,,Conteúdo,,Conteúdo e educação,,Coliving,
,,GVB - virtualização de construções,,constru liga,,BrokerHunter ,,divid
,,iterCode - tecnologia para engenharia,,connecteng,,Instituto Ciinco,,oka
,,smartBIIM - tecnologia para gestão de obras,,engplay,,Corretor Global,,coliiv
,,,,CONSTRUÇÃO CIVIL - teoria e prática,,Play2sell ,,yolo coliving
,Crowfunding,,,BORA na OBRA,,,,home team
,,INCO,,,Site building,,,
,,CapRate Investimentos,Orçamento de obra,,,havite,Student living,
,,urbe.me,,SIENSU,,Tecimob,,Share Student Living
,,vanguardi,,cugconsultoria,,ImobiBrasil,,Parkside
,,ROCK,,custoEXPRESSO,,imobiliária ajato,,UNIPOINT – Student Housing
,,bloxs,,euconstruindo.com,,Kurole,,Uliving – Student Housing
,,Imobcoin,,Rubk,,SIMO,,4student
,,Investweb,,ecustos,,Crecido,,
,,,,hallco,,,Coworking,
,Inteligência de mercado,,,easy supply,Documentação e jurídico,,,woba
,,crawly,,TEC4WEB,,Beaver,,outoo
,,ALLIANCE CONSÓRCIOS,,WeObra,,Vivalisto,,dezker
,,giica,,OrçaFascio - software para engenharia,,Portdata,,Jobpass
,,PROSPECTA - relatório de obras,,CONSTRUP - Construindo soluções,,reserva.blue,,conexa
,,Obra.ai,,ALÔ SERRALHEIRO,,Cardeal,,gendo
,,HOFF ANALYTICS - big data solutions,,celere - consultoria de eficiência da construção,,RevoluTI,,Ybizza
,,Rede de Obras,,,,ITDOC,,Key Place - flexible spaces worldwide
,,DATALAND - land powered by data science,Gestão da obra,,,99contratos,,
,,isket,Diário de Obras,ubuild,,CoBenS,Senior living,
,,urbit,,dia de obra,,Inteligência Cartorial,,SeniorOnline
,,INTEC,,oppem,,,,Morar Sênior
,,propdo,,DIÀRIO DE OBRAS,Recomendação de imóveis ,,,gero360
,,,,rdo,,livvu,,portal casas de repouso – facilitando a vida
,Terrenos,,,,,date a home,,sssenior.com
,,comproterreno,Inspeção e Monitoramento,co.urban,,LIVAR,,Benvo
,,BUSCA TERRA,,QualiTab,,ImóveisPRO,,
,,1M2,,kartado,,appê+,Compartilhamento de espaços,
,,,,INMETA software,,Meu Imóvel,Consultórios,Clinovi - consultórios com serviços
,Dados Fundiários,GISBASE - geoinformation system,,,,,,clina.care
,,Geomart,IoT,CIANOVE,Marketing digital,,,Livance
,,,,ConnectData,,Quero meu apê,,Clinspace
,Intermediação Digital,Solo landbank,,PHYGITALL,,ELEPHANTSKIN,,wedoctors
,,AGREGA - desenvolvimento imobiliário,,PLIPPE,,Socialis,,
,,,,Hitemp - soluções tecnológicas,,imox.ai,Decoração,
,Portal,allrea,,novidá,,imobbox,Marketplace,veromobili
,,Terreno Livre,,data life - GLOBAL,,Publimovel,,movêu
,,FazendaAberta,,,,Hub Growth,,cômodo.
,,MyTower,Planejamento e Controle com AR,Syncker,,99web,,Criativando - Home Design
,,,,allie,,innovv,,sofá na caixa
,Burocracia pública,,,SUPERVIZ,,liveprint!,,BOOBAM
,,Vértice PRO,,aug(in),,,,CLUB&CASA DESIGN
,,APROVA DIGITAL,,IN BUILT,CRM,,,oikko
,,APROVA LEGAL,,,,praedium,,arquitetool
,,USU CAMPEÃO - regularize seu imóvel,Gestão de Tarefas e Comunicação,octágora,,nia - tecnologia para negócios ,,CASA Z
,,no cartório.com ,,appOBRA,,HYPNOBOX,,MeuMobbi
,,Regular Easy - regularizações imobiliárias,,PILAR,,SOFT42,,archy.me
,,reguLARiza! Brasil,,toki,,ISMOB,,CASAPRONTA - Design e Interiores
,,,,builtek,,sohtec,,weplan
,Projeto,,,BRICK UP,,widesys,,
,Catálogo de Produtos,CASOCA,,,,capys,Assinatura,TUIM
,,wikeep,Planejamento e Controle,CONSTRUCT IN,,Si9,,spaceflix
,,123 Projetei,,construct web - gestão eficiente de obras,,Fantástiko - marketplace imobiliário,,BEM BACANA
,,,,construo - gestão de projetos para obras,,SMART - imobiliário,,
,Contratação de Projetistas e Arquitetos,ARQUILEGO,,stantControle,,Facilita.,Referências Visuais,VIVADecora
,,iENG - projetistas especializados,,CONSTRU CODE,,Housi'o,,Redraw
,,INOVA URBIS,,EAP - engenharia de alta performance,,Voa Corretor,,Star Colors
,,,,BOX OBRAS,,jetimob,,
,Gestão de Projetos,arco,,Construpoint,,Lote Mobile,Gestão de propriedades,
,,construflow,,concretto - o app de quem constrói,,Supremo - soluções integradas para imobiliárias,,yogha.
,,Refresher,,makasí,,FLIP,,VILA11
,,,,prevision,,cim imob,,belong
,Modelagem,aerosim,,obrafit,,RAUZEE,,Luggo
,,arqgen,,lumina,,flow leads,,me2rentals experience
,,ocalev - inovação em engenharia,,Civil Control,,Incorp mobile,,Administramos imóveis
,,Gabster,,Obra.lean,,IMOBASE,,TABAS by BLUEGROUND
,,PrevSis,,obra prima,,YouHome,,YUCA
,,mooble.com,,OBRA NA MÃO - Gestão da Construção,,CV CRM - construtor de vendas,,VIVER my way
,,urbIA,,ARQUIS,,,,Test Drive do Imóvel
,,seabra - soluções inteligentes,,ConsLog,Qualificação de Leads,,,eConfor
,,,,SIGO - ERP,,C2S Contact2sale,,
,Pré-projeto,MONÍ,,mais controle,,Leadster,Short Stay,bnbguests
,,instacasa - sua casa num instante,,Hinc,,Morada (ai),,tactu
,,,,VEJAOBRA,,Marta - inteligência imobiliária,,charlie
,Sustentabilidade,,,VIGHA,,Lydia - sistemas inteligentes,,seazone
,,HYGGE,,OBRAPLAY,,harry,,Housi
,,endelevo - soluções sustentáveis,,nimble - virtual solutions,,roboticon,,conviva
,,,,KOPER,,99Leads,,wecare
,Loteamentos,,,Everflow,,bomlead.com,,MAHNAI
,,CUB,,GERENCIA OBRAS,,OQ Digital,,Super Anfitrião
,,trilote,,melius - qualidade,,Leads4Sales,,535homes
,,,,GESTOP - Gestão Transparente de Obras Públicas,,Bid Gram,,anyLife
,Plataforma de Gestão,Terravista,,GO - GestorObras,,DynamoTech - Innovation...always,,xtay
,,hent,,verum.digital,,imobilead,,LikeHome - Gestão e Hospedagens
,,scae,,AGILEAN - Aplicativo de Gestão Integrada Lean,,Notificalead,,OBA APARTMENTS
,,,,GESCORPGO,,blisk solutions,,be my guest
,Smart city,,,GERO OBRAS,,Leadfy,,Trevizzo
,,Mapzer,,igile.com,,LeadFlow,,Anfitriões de Aluguel
,,INFRACITIES,,,,,,welhome
,,,Gestão de documentos,,Canais de comunicação,,,quarto à vista
,Outros,,,coordly,,blow,,Carpediem Homes
,,estrelas ARCHI,,todall,,Intelizap business,,Comprar&decorar
,,we.br,,analize,,,,Omar do Rio
,,NIMBUS,,oppem.,Chatbots,cosmobots,,Lobie
,,ConstruMoney,,CASABRUTA - shopping virtual da construção,,Acelérion,,360 suites
,,itemize,,,,ezok.,,tripmood
,,,Gestão financeira,,,FireFly,,SmartSharing
,Geotecnia e Topografia,,,Datanomik,,Mila,,BemVindo - imóveis por temporada
,,SOND,,"EVOP - Orçamento, Planejamento e Gestão de Obras",,duotalk,,cyclinn
,,DUNA SYSTEM,,,,asksuite,,PINEAPPLES
,,MEU AGRIMENSOR,MDO,,,Digit.ai - Solução MAGIT,,
,,,Contratação e Treinamento,habitissimo,,,Plataforma de Gestão,scaza
,,,,CONSTRUCONNECT,Gestão de carteira,,,spacein
,,,,ConstruMatch!,,immobile - software imobiliário,,Tag
,,,,Parceiro da Construção,,Lastro,,stays
,,,,Esphera academy,,Risknow,,PROGUEST
,,,,izicasa,,tAlugado,,HQBeds
,,,,Jobber,,Portal de Repasse,,paypow
,,,,estudeAE,,Forinvest,,ANFITRIÃO PRIME
,,,,bilds.com,,imobia - gestão imobiliária de um jeito fácil,,bhomy.com
,,,,Tecza,,,,SCOD BRASIL
,,,,portal acústica,Inteligência imobiliária,,,HSystem
,,,,SMART SKY - Tech Hub,,Studio360,,Quadra Urbana
,,,,Quem Contrato,,deepen,,LocX
,,,,,,Locates,,bitz
,,,Gestão,Construgame,,Captei,,AYRTON
,,,,mentor construção,,Terreno Certo - seu hub de negócios,,
,,,,team move,,Siila,Workplace analytics,
,,,,CLICK PONTO,,fisgar,,skedway
,,,,,,Inovyo - market intelligence,,neowrk.
,,,Segurança,ON SAFETY,,iConatus,,where
,,,,OITCHAU,,Aluguel virtual,,WiseOffices
,,,,-,,Avendre,,deskbee
,,,,SafetyTec,,Nivu,,
,,,,,,Quires,Plataforma de projetos arquitetônicos,
,,,Maquinário e materiais,,,iion - inteligência imobiliária on demand,,ARQUITETO DE BOLSO
,,,Aluguel e Aquisição de Maquinário,MuvRental,,Trustdata (tech),,archie
,,,,andaluga - locação de máquinas,,36Zero,,decoradornet
,,,,Trucadão,,,,ARCHA (studio/archa)
,,,,VAI LOCAR equipamentos,Assistente pessoal,,,Arquitetos por Hora
,,,,RENDALOMAQ,,Neural Broker - inteligência artificial imobiliária,,BOUTIQUE LAB
,,,,Alugalogo,,fechô,,la decora
,,,,,,Sonho=Casa (saia do aluguel),,DECORA CLICK
,,,Cotação de Materiais,SANSTONE,,,,projeto num clique
,,,,FLOPO,Esteira digital,,,
,,,,ORÇAQUI,,campeia.,,
,,,,cotacasa,,ruadois,Reformas,
,,,,Achei4u,,Verta,Gestão e Execução de reforma,1COMODO
,,,,nanoprice,,apresenta.me,,truliv
,,,,expert,,Alude,,lofteria
,,,,membran-i,,pipeimob - sistema de transações imobiliárias,,akomod
,,,,concreto usinado .com.br,,Dommus (tecnologia),,Corbu
,,,,materiaL agora!,,Alugamais,,vobi
,,,,CONSTRUP - construindo soluções,,,,namecheap
,,,,painel de preços da construção ,Agenciamento de imóveis,,,spotlar
,,,,EU NA OBRA .com,,imóvelp,,hup
,,,,CONCRETE JÁ,,HAUS agência imobiliária,,CONECTA REFORMA
,,,,,,imobelix,,VistoPRED
,,,Marketplace de Materiais,LojadaConstrução,,agencie imóveis,,GADUGI Reformas
,,,,casa e garagem,,,,
,,,,construHUB,Listing,,Condomínios,
,,,,syx,,MatchHouse,Administradora Digital,Plin condomínios
,,,,fobbi,,Bel,,condofy
,,,,COBUILD,,Buskaza,,4D imobi
,,,,Obra Tá On,,zigoo,,
,,,,Sooper,,,Prestadores de Serviço,Rede Síndicos
,,,,oruby - o seu portal da construção,Portal,,,concessus
,,,,iBuild,,mudee,,Engelink
,,,,obra show - delivery da construção,,vertra,,Casa do Síndico
,,,,333OBRA - O mercado da Construção,,apto,,SUPPLAI
,,,,teky,,SUB100,,
,,,,CASABRUTA - shopping virtual da construção,,trular,Comodidades,Presto
,,,,estoque parado,,nestoria,,market4u
,,,,mercadão da obra,,imovelk,,eletro moove
,,,,Hidrau conex - materiais hidráulicos,,terraz,,Trela
,,,,SOS OBRA,,urbay,,rentbrella
,,,,Arqplace - Arquitetura no lugar certo,,ImóvelAPP,,2u
,,,,Mercado Obra,,iMudou,,wali
,,,,,,estoque imóvel,,market wow
,,,Gestão de Estoque,ALMOX,,Meu metro²,,armários inteligentes
,,,,james tip,,Haus Imobi (imóveis),,
,,,,ALMOB - Gestão para Almoxarifado,,cliqueimudei,Gestão e Comunicação,TECNORISE
,,,,SupplyMaps - Soluções em compras B2B,,doorz,,ConectCon
,,,,zatio,,chaves na mão,,OnMesh
,,,,CPallet,,imovomap - um jeito novo de encontrar seu imóvel,,Conviver - App de condomínios
,,,,,,ClickGalpões,,communy
,,,Telemetria,GaussFleet,,especifica.,,apepê
,,,,BobTon - Conectando a Construção do País,,imovago.com.br,,almah
,,,,,,redeimcasa,,Ohtel - condomínios inteligentes
,,,Materiais de construção,,,Só Casa Top,,Smarttcon - condomínios inteligentes
,,,,upgrade,,Skymoby,,Síndico Online - Gestão Condominial
,,,,JASMMÍN,,Bid Gram,,organize meu condomínio
,,,,MOSHE 3000,,prop. menu,,mycond
,,,,MASSIVA,,web escritórios,,Condox
,,,,Smartop,,web industrial,,condomob
,,,,STEEL MOLD,,ANUVA,,Realiza (Realiza TI)
,,,,isobloco - Smart Buildingtech,,,,myvillage
,,,,Lightwall,Aluguel,Temporada Livre,,CONDOBOX
,,,,X LAM ENGINEERING,,WebQuarto,,uCondo
,,,,Tetris Modular,,2lar.com,,ByDoor
,,,,-,,flat.com.br,,Moviva (Cosimo)
,,,,TimBau Estruturas,,viajar temporada,,CONDSIS
,,,,,,um/quarto (1/4),,APPTOHOME
,,,Novos Materiais,EBRICKS,,AlugaON,,CONDLINK
,,,,amera,,pousadas.top,,LIVROata
,,,,ECOTELHASOLAR,,,,Seu condomínio
,,,,mush,Canal de parcerias,,,ap.controle
,,,,Telhas TELITE,,DWV App,,homebook - smart portaria
,,,,Tégula Solar,,OTTO,,severino app
,,,,,,Recruta-Imob,,acolweb
,,,Mapeamento e acompanhamento,,,homer,,ETHOS VIVET
,,,Drones,4VANTS - vision analytics,,movimobi,,winker
,,,,ALTAVE,,im7,,SmartSíndico
,,,,Facilit'Air - Soluções por Drones,,imoveistock,,Condomínio App
,,,,FLUGDRONES,,BIGMOB,,be all bee
,,,,BIMSTART,,órulo,,Livo
,,,,OBRA 3D,,nonstop,,DoctorCondo
,,,,mappa,,meit,,Nok Nox
,,,,GEOINOVA,,,,
,,,,Maply,Intermediação digital,,Sustentabilidade,greenclub
,,,,DronEng - Drones e Engenharia,,Rankim,,Minha Coleta
,,,,LEVITAR - drone intelligence,,imóveisjet,,WasteBank
,,,,"PROP - drones, soluções aéreas",,Pilar,,valora
,,,,PIX FORCE,,Lokkan - A imobiliária digital,,Ciclefy
,,,,LORD DRONE - imagens inteligentes,,MySide,,VERDEACQUA
,,,,TERRA ump DRONES,,test house,,trashin
,,,,WillFly,,Kenlo,,SOLOS
,,,,,,Quick2Sell,,Green Mining
,,,Métodos construtivos,,,Comprei,,Você Recicla
,,,Construção Modular,DURASA,,nethomes,,Eco Circuito
,,,,AMERA,,AoCubo,,
,,,,MINIMOD,,apê11,Minimercado,NUTRICAR
,,,,immergrun - construções inteligentes,,Neo - New Estate Only,,Onii
,,,,techome,,Ymove,,vendify
,,,,inovahouse,,Homeroque,,snackin'
,,,,VISIA,,Newcore,,SMARTBREAK
,,,,modulife - construção modular,,UBlink,,peggô market
,,,,iBUILD - construções inteligentes,,Capt Imóveis,,easy market - honest culture
,,,,CONTAINER EXPRESS,,HomeHub - by Judice&Araujo,,vendPerto - mini market
,,,,TEGO FRAME,,LAR ,,InHouse market
,,,,oak offsite,,IMOTECH - inovação e tecnologia,,BE HONEST
,,,,CSTEEL,,ocka,,Minha Quitandinha
,,,,TCI,,,,fast4you
,,,,noah - wood building design,Aluguel,Aluggar,,Malu Market
,,,,EcoNEXT - the next generation of building,,7cantos.com,,CONDOSTORE
,,,,MODUZ - construção modular,,mobg,,Honest Market
,,,,tinylife,,MUDEii,,Seletto in
,,,,CONTAINER MODULAR,,UP Estate,,
,,,,Docking Modules - construindo o futuro,,aluguel pago,Produtos Financeiros,condopay
,,,,HEIMA SOLUTIONS,,BoldHouse,,CONDOCONTA
,,,,MODOOLAR - construções inteligentes,,,,AZURITTA
,,,,LOCARES - Casa Containers e Projetos Customizados,Aluguel Comercial,PlacetoBe,,CONDOBEM
,,,,LOG BOXX,,Silla Spot,,CondoCash
,,,,Universo dos Containers - projetos residenciais e comerciais,,Loppo,,CondoBlue
,,,,MORECO - modular rental company,,Matched,,6P BANK
,,,,K.BANA,,Plaza,,CondCred
,,,,d.,,alugaê,,HR Digital
,,,,MODHUS - arquitetura modular,,SuaQuadra,,wohpag
,,,,mora,,Symbaros,,CondoMoney
,,,,-,,,,Condolivre
,,,,tiny Brasil,Desitermediação,,,DEDUZ
,,,,cubicset - More for Less,,casaprogramada,,ESTAIADA
,,,,STEEL GROUP,,Orbitare,,
,,,,ARATAU Construção Modular,,Proprietário Direto,Segurança,atende portaria
,,,,-,,compre alugue agora,,monuv
,,,,MODO,,livima,,DRIKEY
,,,,umbria construção modular,,ABRIGAR - LIcitações de imóveis particulares,,w3lcome
,,,,capsu,,zero comissão,,Camerite
,,,,-,,VSIO,,Gabriel
,,,,PRISMA,,nobeehouse,,smartvisit
,,,,,,,,accessrun
,,,Impressão 3D,DOMUS3D - printing the future in concrete,Aluguel,mell.ro,,EasyFront
,,,,nano¹,,moben,,queromorar
,,,,,,zimobi,,condfy
,,,Pré-Fabricação,BioBox - Sustainable Houses,,querolar,,findme
,,,,oztra,,,,HAILA
,,,,smart pods,Plataforma de investimento,,,pxTalk
,,,,,,ladyge,,Letmein
,,,Sustentabilidade,,,CAPTAL,,CONSIS
,,,Redução e destino de resíduos,esphera - Soluções Ambientais,,Vórtx QR Tokenizadora,,ebrigada - prevenção de sinistros
,,,,SkambO OBRA,,invisto,,beNuvem
,,,,MEURESÍDUO,,Capital Concreto - incorporação,,cosecurity
,,,,eloverde,,Tokeniza,,eCondos
,,,,NETResíduos,,captur,,Linha Direta
,,,,Vertown - nada se perde,,ribus,,REMOTY
,,,,ambisis - software para gestão ambiental,,neoin,,SHIELDER
,,,,B2Blue.com - valorizando seu resíduo,,trix,,atendeai
,,,,okena,,Ret Capital - Real Estate Tech,,Quasar Tech
,,,,destinejá,,Insignia,,
,,,,aterra,,revin.,Logística ,
,,,,LANDAPP,,divvy,Fretamento,LogShare
,,,,POLEN,,liqi,,goFlux
,,,,recigreen - tecnologia verde,,,,tag2u
,,,,RECICLA.CLUB,Gestão de pagamentos,,,MUDZ
,,,,revi,,safe swap,,NEZTI
,,,,GREENPLAT - accelerating sustainable production,,Tikpag,,
,,,,ecomud - soluções ambientais e pavimentação,,SplitC,Smart building,
,,,,,,linkpay,,magikey
,,,Gestão pós obra,,,bolsovirtual,,podesubir
,,,,FACILITAT - desempenho no pós-obra,,Hashlar - Real Estate Crypto Payment,,Loomy
,,,,app assist,,,,SiiSmart
,,,,PREDIALIZE,Seguro,,,SQUAIR
,,,,EASY ALERT,,Safe2Go,,nway pro
,,,,NAVE,,credaluga,,TRINITYSIS
,,,,vistora,,MigraSeguros,,
,,,,FASTBUILT,,grazon,Facilities,
,,,,,,Fiança Rápida,Gestão e Manutenção,MANU HELP
,,,Outros,,,Flix,,Manu 2b
,,,,linkana,,180Seguros,,Leankeep
,,,,EXY - empowering people,,granto seguros,,trackfy
,,,,,,Simple2u,,TRACTIAN
,,,,,,bem.te.vi seguros,,Metam
,,,,,,,,SAFEB
,,,,,Análise de locatário,,,Produttivo
,,,,,,FCanalise digital,,Melvin
,,,,,,euAcerto,,7Dtech - imobcare
,,,,,,,,trílogo
,,,,,Showcase,,,Éleme
,,,,,,imobmeet,,DronePower
,,,,,,FOTOP,,
,,,,,,Alice Wonders - Tech Driven Experiences,Gestão Energética,GreenAnt
,,,,,,,,Allexo - tecnologia
,,,,,Tour Virtual,,,FOHAT
,,,,,,FYRStudio,,MethaEnergia
,,,,,,3D explora,,beenergy
,,,,,,piperz,,SolarView
,,,,,,ATT,,IGOAL - tecnologia
,,,,,,SKYLINE - inovação & produções,,TRADENERGY
,,,,,,3 blocks,,DISPOR Energia
,,,,,,My360 realidade virtual,,POLUS
,,,,,,sheephouse,,Delfos
,,,,,,Escala 3D,,Bow-e
,,,,,,tzs lab,,tyr
,,,,,,yourside group,,clarke energia
,,,,,,,,Ativa energia
,,,,,VR,hollox,,enercycle
,,,,,,im xr,,CUBI energia
,,,,,,setvirtual,,Energia das Coisas
,,,,,,VOR,,NEX Energy
,,,,,,Dropview,,eficienergy
,,,,,,Fuel,,medeage
,,,,,,beupse,,MONDI ENERGY
,,,,,,meu tour 360 - realidade virtual,,Enerzee
,,,,,,VR one,,
,,,,,,MeuPasseioVirtual,Gestão Hídrica,T&D Sustentável
,,,,,,XSpaces,,piipee
,,,,,,iTeleport,,stattus4
,,,,,,GENIA,,BLUETECH Liquid
,,,,,,MVV Realidade Virtual,,sagatech
,,,,,,vistahub,,acqua logic
,,,,,,banib - Tour Virtual para negócios,,HIDROMETRIC
,,,,,,3D Pictures - visualizando o futuro,,neowater - eficiência hídrica
,,,,,,vila 360,,PLUVI - soluções ambientais inteligentes
,,,,,,blue storm studios,,
,,,,,,Bugaboo Studio,Smart home,
,,,,,,,,LoopKey
,,,,,Garantia Locatícia,,,bluelux
,,,,,,Garantii,,dyonaOS
,,,,,,Alugue Certo,,dooma
,,,,,,ondasegura,,WiseHome
,,,,,,compagno,,Smartek Life
,,,,,,locarmais,,Chavi
,,,,,,tio Giba,,BEYOND
,,,,,,Seu Fiador,,kokar
,,,,,,Avalyst,,hub
,,,,,,InMediam - Garantia Locatícia,,HAUSENN+
,,,,,,alpop,,houseasy
,,,,,,soluzi - garantia locatícia,,
,,,,,,u cred,Utilities,
,,,,,,Fiantec - Fiança Locatícia,Carregamento de EVs,VOXEPOWER
,,,,,,,,NeoCharge
,,,,,Fractional Ownership,,,yellotmob
,,,,,,MYDOOR,,wecharge
,,,,,,netspaces,,tupi
,,,,,,Zuvia,,movE
,,,,,,junttus,,greenv
,,,,,,2Share Multipropriedades,,POWER2GO
,,,,,,WEHO,,ZuuZ - Mobilidade Elétrica
,,,,,,ApolloEX,,Zletric
,,,,,,wconnect,,Eletricus
,,,,,,sonica,,INCHARGE
,,,,,,AXT PropTech,,ELEVENTEC
,,,,,,flexu houses,,EZVolt
,,,,,,Percento %,,VoltBras
,,,,,,casaway,,
,,,,,,,Energia por Assinatura,minum
,,,,,Captação de recursos,,,flora
,,,,,,bomconsórcio,,solar21
,,,,,,DIRETO.,,reverde
,,,,,,klubi,,yellot
,,,,,,REEX,,NewSun
,,,,,,FINANZ,,Ecosol - condomínio solar
,,,,,,solv.,,CleanClic
,,,,,,VERSI,,MAYA ENERGY
,,,,,,consorciei,,sunnyhub
,,,,,,andalafat negócios,,EGRONN
,,,,,,Parcelinha Digital,,Electy
,,,,,,AmFi,,SUNRENT
,,,,,,NanoCapital,,sunne
,,,,,,UP Consórcios,,
,,,,,,,Energia Solar,SOLSTAR
,,,,,Home Equity,CREDUP - crédito incentivado,,GENYX
,,,,,,crediblue,,Fin.Yellow
,,,,,,Bank2B,,holu
,,,,,,bom pra crédito,,SUN MOBI
,,,,,,aMORA,,Lemon
,,,,,,TKS Cash,,alba - energia solar
,,,,,,Lend Me,,edsun
,,,,,,house credi,,Cartão Solar
,,,,,,Pontte,,JUNTOS - energia compartilhada
,,,,,,CrediCatarina,,Gynga
,,,,,,,,grupo eneergia
,,,,,Antecipação de Recebíveis,cedulla,,sunlabs
,,,,,,cashgo,,meu financiamento solar
,,,,,,DUNNING - Gestão de Recebíveis,,conexão solar
,,,,,,Bold.Finance,,Renova Green
,,,,,,,,First Energy
,,,,,Crédito Imobiliário,,,ENERGY Review
,,,,,,HOMELEND,,
,,,,,,credikasa,Outros,
,,,,,,financiei.,,KitchenCentral
,,,,,,zixpay,,Preservaland
,,,,,,neohome,,appito
,,,,,,R3KA,,kitchenfy
,,,,,,Volpi,,QZela
,,,,,,Felí,,mosquitter
,,,,,,concede,,Clube FII
,,,,,,BRICKER,,
,,,,,,LEVI,Prestadores de serviço,
,,,,,,APPROVA,,agendaboa
,,,,,,melhortaxa,,tranpo
,,,,,,Consórcio eutbem ;-),,GoPrestador
,,,,,,CrediHabitar,,otto - repare
,,,,,,Turn2C,,triider
,,,,,,gruppi,,melhores diaristas
,,,,,,Mycon,,entendantes (Entenda Antes)
,,,,,,sejabest,,refera
,,,,,,mudhra,,clin
,,,,,,ASSINO - crédito imobiliário,,MeuVidraceiro
,,,,,,credimorar,,GENNTE
,,,,,,Mahauz,,DeCASA
,,,,,,EasyCrédito - seu crédito na palma da mão,,parafuzo
,,,,,,Investimento Certo,,donamaid
,,,,,,Morada dos Sonhos,,famyle
,,,,,,Minha Casa Financiada,,HELPIE!
,,,,,,,,RENOVE JÁ
,,,,,Valuation de imóveis,,,CASAJEITADA
,,,,,,avalion - avaliação e captação de imóveis,,
,,,,,,EEmovel - inteligência imobiliária,Gestão de estacionamento,
,,,,,,Konstit,,brisk - your place
,,,,,,M² Info,,valeti
,,,,,,proto,,
,,,,,,,Manutenção residencial,
,,,,,Imóveis estressados,,,RENOVE EXPRESS
,,,,,,zuk,,manusis4
,,,,,,TEZA,,
,,,,,,Leeilo,Plataforma de reforma e decoração ,
,,,,,,solve,,decor em casa
,,,,,,resale,,design here
,,,,,,ROOFTOP,,Decorafit
,,,,,,Leilão Imóvel,,Decore Certo
,,,,,,MORADA,,
,,,,,,Procura Bem,,
,,,,,,BCO Leilões,,
,,,,,,D1Lance Leilões,,
,,,,,,SPY Leilões,,
,,,,,,WeMind Invest,,
,,,,,,,,
,,,,,Vistoria de imóveis,,,
,,,,,,BH Vistoria Predial,,
,,,,,,VISItown,,
,,,,,,CHECASA,,
,,,,,,vistoria completa,,
,,,,,,hauseful,,
,,,,,,gruporv - redevistorias e redeconfiax,,
,,,,,,Grupo palavra ,,
,,,,,,Visita Virtual,,
,,,,,,,,
,,,,,Virtual homestaging,,,
,,,,,,r uu m,,
,,,,,,LAMBRIS,,
,,,,,,Personalar,,
,,,,,,,,
,,,,,Ibuyer,,,
,,,,,,REFITT,,
,,,,,,house flipping,,
,,,,,,,,
,,,,,Outros,,,
,,,,,,ops ganhei,,
,,,,,,Smart Imobi,,
,,,,,,WeBro pay,,
,,,,,,,,
,,,,,Geomarketing,,,
,,,,,,EXPANDIFY - Grow Your Business,,
,,,,,,OptPlacer,,
,,,,,,BestSpaces,,
,,,,,,linkages,,
,,,,,,Datlo,,
,,,,,,mapfry,,
,,,,,,space hunters,,
